HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
United States,Brazil,2007,0,4,4
Norway,United States,2007,1,4,5
Germany,Brazil,2007,2,0,2
Nigeria,France,2011,0,1,1
Germany,Canada,2011,2,1,3
Canada,France,2011,0,4,4
Germany,Nigeria,2011,1,0,1
France,Germany,2011,2,4,6
Canada,Nigeria,2011,0,1,1
Japan,New Zealand,2011,2,1,3
Mexico,England,2011,1,1,2
Japan,Mexico,2011,4,0,4
New Zealand,England,2011,1,2,3
England,Japan,2011,2,0,2
New Zealand,Mexico,2011,2,2,4
Colombia,Sweden,2011,0,1,1
United States,North Korea,2011,2,0,2
North Korea,Sweden,2011,0,1,1
United States,Colombia,2011,3,0,3
Sweden,United States,2011,2,1,3
North Korea,Colombia,2011,0,0,0
Norway,Equatorial Guinea,2011,1,0,1
Brazil,Australia,2011,1,0,1
Australia,Equatorial Guinea,2011,3,2,5
Brazil,Norway,2011,3,0,3
Equatorial Guinea,Brazil,2011,0,3,3
Australia,Norway,2011,2,1,3
England,France,2011,1,1,2
Germany,Japan,2011,0,1,1
Sweden,Australia,2011,3,1,4
Brazil,United States,2011,2,2,4
France,United States,2011,1,3,4
Japan,Sweden,2011,3,1,4
Sweden,France,2011,2,1,3
Japan,United States,2011,2,2,4
Canada,China,2015,1,0,1
New Zealand,Netherlands,2015,0,1,1
China,Netherlands,2015,1,0,1
Canada,New Zealand,2015,0,0,0
Netherlands,Canada,2015,1,1,2
China,New Zealand,2015,2,2,4
Norway,Thailand,2015,4,0,4
Germany,Ivory Coast,2015,10,0,10
Germany,Norway,2015,1,1,2
Ivory Coast,Thailand,2015,2,3,5
Thailand,Germany,2015,0,4,4
Ivory Coast,Norway,2015,1,3,4
Cameroon,Ecuador,2015,6,0,6
Japan,Switzerland,2015,1,0,1
Switzerland,Ecuador,2015,10,1,11
Japan,Cameroon,2015,2,1,3
Ecuador,Japan,2015,0,1,1
Switzerland,Cameroon,2015,1,2,3
Sweden,Nigeria,2015,3,3,6
United States,Australia,2015,3,1,4
Australia,Nigeria,2015,2,0,2
United States,Sweden,2015,0,0,0
Nigeria,United States,2015,0,1,1
Australia,Sweden,2015,1,1,2
Spain,Costa Rica,2015,1,1,2
Brazil,South Korea,2015,2,0,2
Brazil,Spain,2015,1,0,1
South Korea,Costa Rica,2015,2,2,4
Costa Rica,Brazil,2015,0,1,1
South Korea,Spain,2015,2,1,3
France,England,2015,1,0,1
Colombia,Mexico,2015,1,1,2
France,Colombia,2015,0,2,2
England,Mexico,2015,2,1,3
Mexico,France,2015,0,5,5
England,Colombia,2015,2,1,3
Germany,Sweden,2015,4,1,5
China,Cameroon,2015,1,0,1
Brazil,Australia,2015,0,1,1
France,South Korea,2015,3,0,3
Canada,Switzerland,2015,1,0,1
Norway,England,2015,1,2,3
United States,Colombia,2015,2,0,2
Japan,Netherlands,2015,2,1,3
Germany,France,2015,1,1,2
China,United States,2015,0,1,1
Australia,Japan,2015,0,1,1
England,Canada,2015,2,1,3
United States,Germany,2015,2,0,2
Japan,England,2015,2,1,3
Germany,England,2015,0,1,1
United States,Japan,2015,5,2,7
France,South Korea,2019,4,0,4
Norway,Nigeria,2019,3,0,3
Nigeria,South Korea,2019,2,0,2
France,Norway,2019,2,1,3
Nigeria,France,2019,0,1,1
South Korea,Norway,2019,1,2,3
Germany,China,2019,1,0,1
Spain,South Africa,2019,3,1,4
Germany,Spain,2019,1,0,1
South Africa,China,2019,0,1,1
South Africa,Germany,2019,0,4,4
China,Spain,2019,0,0,0
Australia,Italy,2019,1,2,3
Brazil,Jamaica,2019,3,0,3
Australia,Brazil,2019,3,2,5
Jamaica,Italy,2019,0,5,5
Jamaica,Australia,2019,1,4,5
Italy,Brazil,2019,0,1,1
England,Scotland,2019,2,1,3
Argentina,Japan,2019,0,0,0
Japan,Scotland,2019,2,1,3
England,Argentina,2019,1,0,1
Japan,England,2019,0,2,2
Scotland,Argentina,2019,3,3,6
Canada,Cameroon,2019,1,0,1
New Zealand,Netherlands,2019,0,1,1
Netherlands,Cameroon,2019,3,1,4
Canada,New Zealand,2019,2,0,2
Netherlands,Canada,2019,2,1,3
Cameroon,New Zealand,2019,2,1,3
